build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
202332153,30c1409284267f100a74c22037a5a321dc1669a5,567,master,errored,187,2017-02-16 17:31:43 UTC,202332154,202332155,202332156,202332157,pull_request
202290094,1c64278c4952604afce5cce061d82d63c4270ffa,,http-request,passed,168,2017-02-16 15:34:08 UTC,202290095,202290096,202290099,202290101,push
202284630,5fd68480fe6d554d3de523a4e7870c6d3e1a4ec7,,master,failed,185,2017-02-16 15:20:16 UTC,202284631,202284634,202284637,202284640,push
202283374,359ff37303609efb80838d04675870c6881f4e59,,release-2.5,errored,253,2017-02-16 15:17:00 UTC,202283375,202283376,202283377,202283378,202283379,push
202122535,05b8791dd02b03c4a3577d0021ae3debe28ad698,566,master,errored,150,2017-02-16 04:20:39 UTC,202122536,202122537,202122538,202122539,pull_request
202121883,da5edbb46de377cd13fe4f3dd50ba0954a6292b0,,http-request,failed,143,2017-02-16 04:15:33 UTC,202121884,202121885,202121886,202121887,push
202121811,0d56fa154044557f5faac3eed58a271ff42a8cba,,master,errored,204,2017-02-16 04:15:06 UTC,202121812,202121813,202121814,202121815,push
202121802,89f1ff293ec161f49fdaa8982587a814686835a6,565,master,errored,92,2017-02-16 04:14:57 UTC,202121803,202121804,202121805,202121806,pull_request
202121287,66ac5d66ca5eb61d087ec2503b77f837b13b4989,,update-code-climate,passed,194,2017-02-16 04:11:33 UTC,202121288,202121290,202121292,202121293,push
202120985,34d3b490a0352036b5aa2556bd986f59e251c6ef,,update-code-climate,failed,141,2017-02-16 04:09:38 UTC,202120986,202120987,202120988,202120989,push
202120923,9b2e371f775cfe7268f7b4509c0cca96148577c8,,http-request,failed,189,2017-02-16 04:09:24 UTC,202120924,202120925,202120926,202120927,push
200738589,f05129483831dce4115aa87f132a2712036c0ae2,,update-code-climate,errored,168,2017-02-11 21:32:09 UTC,200738590,200738591,200738592,200738593,push
200738251,47787a5a7dc89958b3ae342f30f9118897eeaa02,,update-code-climate,failed,156,2017-02-11 21:30:16 UTC,200738252,200738254,200738255,200738256,push
200737559,d4e7fb45d57bddecf30b5862316c74479cae7221,,update-code-climate,errored,171,2017-02-11 21:26:36 UTC,200737560,200737561,200737562,200737563,push
200731844,e5a2ff442b0e5919c58e9ea2a22f9ace38e5312a,,update-code-climate,errored,284,2017-02-11 21:00:32 UTC,200731845,200731848,200731850,200731852,200731854,push
