build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
435009034,8216ee8d1942c6d2978ae9faabf050725da91333,,master,failed,1655,2018-09-29 15:16:19 UTC,435009035,435009036,435009037,435009038,435009039,435009040,435009041,push
434980364,0f10d831e1d598d333bc7b556dd44bd776581bfc,,master,passed,2893,2018-09-29 13:08:33 UTC,434980365,434980366,434980367,434980368,434980369,434980370,434980371,push
434971382,aba2696fd4c502c016e0d3b432669f788915aef3,100,master,passed,2862,2018-09-29 12:24:21 UTC,434971383,434971384,434971385,434971386,434971387,434971388,434971389,pull_request
434558044,590839fd527dfc5a3163865e02808da1eefa9d42,,master,passed,3017,2018-09-28 10:48:47 UTC,434558045,434558046,434558047,434558049,434558050,434558051,434558052,cron
433901067,590839fd527dfc5a3163865e02808da1eefa9d42,,master,passed,2978,2018-09-27 04:29:52 UTC,433901068,433901069,433901070,433901071,433901072,433901073,433901074,push
433649497,5226b2766d1b0fa73ff36f42dabe89dac86b4afd,97,master,passed,3235,2018-09-26 17:40:34 UTC,433649498,433649499,433649500,433649501,433649502,433649503,433649504,pull_request
433639012,cf30721d29491fe9700c06aa7cfab739efc7139e,,master,passed,3201,2018-09-26 17:20:33 UTC,433639013,433639014,433639015,433639016,433639017,433639018,433639019,push
433638974,09e06b303228f5a7a10593d8482f92b45a64e8e6,96,master,errored,81,2018-09-26 17:19:07 UTC,433638975,433638976,433638977,433638978,433638979,433638980,433638981,pull_request
433625699,f6141843ead861762e79f2bc5d660aae79159543,96,master,passed,3158,2018-09-26 16:57:40 UTC,433625700,433625701,433625702,433625703,433625704,433625705,433625706,pull_request
433625004,d148348903705fec26220dd87a87aa7e49826981,96,master,canceled,0,,433625005,433625006,433625007,433625008,433625009,433625010,433625011,pull_request
433624813,eb303dec3c395ba7876a8512bd93dfc4a816c49d,96,master,canceled,0,,433624814,433624815,433624816,433624817,433624818,433624819,433624820,pull_request
433624045,77ab349d4abd1ff6ba8943370289419473b98440,96,master,failed,2502,2018-09-26 16:51:31 UTC,433624046,433624047,433624048,433624049,433624050,433624051,433624052,pull_request
433427625,594dde598a989622777b893d5e8d5d47797a4102,,master,passed,3143,2018-09-26 10:47:20 UTC,433427626,433427627,433427628,433427629,433427630,433427631,433427632,cron
